ticker,entry_date_used,exit_date_used,return_percent,performance_metrics,week_analysis_original,week_analysis_rewritten,month_analysis_original,month_analysis_rewritten
NOC,2026-02-19,2026-03-19,-3.08,"{'5-day': '+8.55%', '10-day': '+6.83%', '1-month': '+10.49%', '3-month': '+30.42%', '6-month': '+25.70%', 'YTD': '+29.23%'}","The stock moved higher over the week, climbing from about 695.06 to 736.87. It finished close to its recent high near 736.87, with little retreat late in the week. The week showed a moderate trading range with moderate volatility, up days slightly outnumbered down days, and rising volume with fairly even volume.","The stock rose over the week from about 695.06 to 736.87 and ended near the recent high with little pullback. It traded in a moderate range with moderate volatility, up days slightly outnumbered down days, and volume increased while staying fairly even.","The stock moved higher over the month, climbing from about 664.16 to 736.87. It finished close to its recent high near 736.87, with little retreat late in the month. The month showed a wide trading range with high volatility, up days slightly outnumbered down days, and stable volume with fairly even volume. Overall, this amounted to a 10.95% gain over the month.","Over the month, the stock rose from about 664.16 to 736.87, ending near the recent high with little late pullback. It traded in a wide range with high volatility, up days slightly outnumbered down days, volume stayed stable and fairly even, and the month finished up 10.95%."
RTX,2026-02-19,2026-03-19,-2.28,"{'5-day': '+4.53%', '10-day': '+4.41%', '1-month': '+1.73%', '3-month': '+18.21%', '6-month': '+33.68%', 'YTD': '+12.00%'}","The stock posted a modest gain over the week, ending near 205.41 after starting around 201.14. It finished close to its recent high near 205.41, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, up days slightly outnumbered down days, and stable volume with fairly even volume.","The stock rose modestly over the week, moving from about 201.14 to around 205.41 and closing near its recent high with little late-week pullback. Trading stayed in a narrow range with low volatility, up days slightly outpaced down days, and volume was steady and fairly even.","The stock posted a modest gain over the month, ending near 205.41 after starting around 197.50. It finished close to its recent high near 205.41, with little retreat late in the month. The month showed a relatively narrow trading range with low volatility, up and down sessions were fairly mixed, and stable volume with fairly even volume.","The stock rose modestly over the month, moving from about 197.50 to roughly 205.41 and closing near its recent high with little late pullback. Trading stayed in a relatively tight range with low volatility, mixed up and down days, and steady, fairly even volume."
JNJ,2026-02-19,2026-03-19,-3.77,"{'5-day': '+2.51%', '10-day': '+5.31%', '1-month': '+12.92%', '3-month': '+21.92%', '6-month': '+38.87%', 'YTD': '+19.31%'}","The stock was relatively flat over the week, ending near 246.91 after starting around 244.55. It finished close to its recent high near 246.91, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, down days slightly outnumbered up days, and falling volume with fairly even volume.","The stock was mostly flat for the week, rising from about 244.55 to around 246.91 and closing near its recent high with little late-week pullback. Trading stayed in a narrow range with low volatility; down days slightly outnumbered up days, and volume fell while remaining fairly even.","The stock moved higher over the month, climbing from about 218.01 to 246.91. It finished close to its recent high near 246.91, with little retreat late in the month. The month showed a wide trading range with high volatility, up days slightly outnumbered down days, and stable volume with fairly even volume. Overall, this amounted to a 13.26% gain over the month.","The stock rose over the month from about 218.01 to 246.91, ending near its recent high with little pullback late in the month. Trading was volatile with a wide range, up days slightly exceeded down days, volume was steady and fairly even, and the month ended up 13.26%."
LMT,2026-02-19,2026-03-19,-4.35,"{'5-day': '+6.01%', '10-day': '+10.58%', '1-month': '+14.44%', '3-month': '+41.84%', '6-month': '+51.10%', 'YTD': '+37.80%'}","The stock posted a modest gain over the week, ending near 666.51 after starting around 637.43. It finished close to its recent high near 666.51, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, up days slightly outnumbered down days, and falling volume with fairly even volume.","The stock rose modestly for the week, moving from about 637.43 to around 666.51 and closing near the week’s high with minimal pullback. Trading stayed in a fairly tight range with low volatility, up days slightly exceeded down days, and volume eased while remaining fairly balanced.","The stock moved higher over the month, climbing from about 586.23 to 666.51. It finished close to its recent high near 666.51, with little retreat late in the month. The month showed a wide trading range with high volatility, up days slightly outnumbered down days, and falling volume with mixed volume. Overall, this amounted to a 13.69% gain over the month.","Over the month, the stock rose 13.69% from about 586.23 to 666.51 and ended near its recent high with minimal late pullback. Trading was volatile with a wide range, up days slightly exceeded down days, and volume generally declined with mixed day-to-day readings."
NSRGF,2026-02-19,2026-03-19,-8.67,"{'5-day': '+4.52%', '10-day': '+5.89%', '1-month': '+12.76%', '3-month': '+7.66%', '6-month': '+17.30%', 'YTD': '+5.93%'}","The stock posted a modest gain over the week, ending near 105.55 after starting around 103.92. It finished close to its recent high near 105.55, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, down days slightly outnumbered up days, and rising volume with fairly even volume.","The stock rose modestly for the week, moving from about 103.92 to around 105.55 and closing near its recent high with little late-week pullback. Trading stayed in a narrow range with low volatility, down days slightly outnumbered up days, and volume increased while remaining fairly balanced.","The stock moved higher over the month, climbing from about 90.84 to 105.55. It finished close to its recent high near 105.55, with little retreat late in the month. The month showed a wide trading range with high volatility, up days slightly outnumbered down days, and falling volume with mixed volume. Overall, this amounted to a 16.19% gain over the month.","Over the month, the stock rose 16.19%, moving from about 90.84 to 105.55 and ending near that recent high with minimal late pullback. Trading was volatile with a wide range, up days slightly exceeded down days, and volume was mixed but generally declining."
DUK,2026-02-19,2026-03-19,2.67,"{'5-day': '+0.93%', '10-day': '+3.40%', '1-month': '+6.00%', '3-month': '+3.39%', '6-month': '+2.09%', 'YTD': '+7.82%'}","The stock was relatively flat over the week, ending near 126.37 after starting around 126.11. It finished close to its recent high near 128.20, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, down days slightly outnumbered up days, and falling volume with fairly even volume.","The stock was mostly flat for the week, ending near 126.37 after starting around 126.11 and staying close to its recent high near 128.20 with little late-week pullback. Trading stayed in a narrow range with low volatility; down days slightly outnumbered up days, and volume trended lower while remaining fairly even.","The stock moved higher over the month, climbing from about 119.37 to 126.37. It finished close to its recent high near 128.20, with little retreat late in the month. The month showed a moderate trading range with moderate volatility, up days slightly outnumbered down days, and rising volume with fairly even volume.","The stock rose over the month from about 119.37 to 126.37 and ended near its recent high around 128.20 with minimal late-month pullback. It traded in a moderate range with moderate volatility, had slightly more up days than down days, and volume increased while staying fairly even."
CNI,2026-02-19,2026-03-19,-9.44,"{'5-day': '+2.93%', '10-day': '+10.52%', '1-month': '+9.31%', '3-month': '+16.96%', '6-month': '+15.98%', 'YTD': '+10.70%'}","The stock posted a modest gain over the week, ending near 109.43 after starting around 107.30. It finished close to its recent high near 109.43, with little retreat late in the week. The week showed a relatively narrow trading range with low volatility, up days slightly outnumbered down days, and stable volume with fairly even volume.","The stock rose modestly for the week, moving from about 107.30 to near 109.43 and closing near its recent high with minimal late-week pullback. Trading stayed in a relatively tight range with low volatility, slightly more up days than down days, and steady, fairly even volume.","The stock moved higher over the month, climbing from about 99.38 to 109.43. It finished close to its recent high near 109.43, with little retreat late in the month. The month showed a wide trading range with high volatility, most sessions closed higher than the previous day, and rising volume with mixed volume. Overall, this amounted to a 10.11% gain over the month.","The stock rose over the month from about 99.38 to 109.43, ending near 109.43 with little late-month pullback. Trading was volatile with a wide range, most sessions closed higher than the prior day, volume generally increased with mixed day-to-day readings, for a 10.11% monthly gain."
RIVN,2026-02-19,2026-03-19,3.4,"{'5-day': '+5.62%', '10-day': '+8.49%', '1-month': '-6.48%', '3-month': '+5.91%', '6-month': '+27.27%', 'YTD': '-20.90%'}","The stock moved higher over the week, climbing from about 14.00 to 15.59. It reached a recent high near 17.73 but finished the week meaningfully below that level. The week showed a wide trading range with high volatility, most sessions closed lower than the previous day, and falling volume with mixed volume. Overall, this amounted to a 11.36% gain over the week.","The stock rose 11.36% for the week, moving from about 14.00 to 15.59 after hitting a recent high near 17.73 but closing well below it. Trading was volatile with a wide range, most sessions finished lower than the prior day, and volume trended down.","The stock fell sharply over the month, moving from about 16.47 to 15.59. It reached a recent high near 17.73 but finished the month meaningfully below that level. The month showed a wide trading range with high volatility, most sessions closed lower than the previous day, and rising volume with mixed volume.","Over the month, the stock dropped from about 16.47 to 15.59 after hitting a recent high near 17.73, ending well below that peak. Trading was volatile with a wide range, most sessions closed lower than the prior day, and volume increased overall but was uneven day to day."
PLUG,2026-02-19,2026-03-19,25.65,"{'5-day': '-2.55%', '10-day': '-6.83%', '1-month': '-19.07%', '3-month': '+0.53%', '6-month': '+20.89%', 'YTD': '-3.05%'}","The stock posted a modest gain over the week, ending near 1.91 after starting around 1.82. It finished close to its recent high near 1.91, with little retreat late in the week. The week showed a moderate trading range with moderate volatility, up days slightly outnumbered down days, and falling volume with fairly even volume.","The stock rose modestly for the week, moving from about 1.82 to around 1.91 and closing near its recent high with little late-week pullback. Trading stayed in a moderate range with moderate volatility, up days slightly exceeded down days, and volume declined while remaining fairly even.","The stock fell sharply over the month, moving from about 2.22 to 1.91. It reached a recent high near 2.59 but finished the month meaningfully below that level. The month showed a wide trading range with high volatility, down days slightly outnumbered up days, and falling volume with fairly even volume. Overall, this amounted to a 13.96% decline over the month.","Over the month, the stock dropped 13.96% from about 2.22 to 1.91 after peaking near 2.59. Trading ranged widely with high volatility, down days slightly exceeded up days, and volume trended lower while staying fairly even day to day."
COIN,2026-02-19,2026-03-19,22.28,"{'5-day': '+8.32%', '10-day': '-1.59%', '1-month': '-31.19%', '3-month': '-35.50%', '6-month': '-45.07%', 'YTD': '-26.62%'}","The stock moved higher over the week, climbing from about 141.09 to 165.94. It finished close to its recent high near 166.02, with little retreat late in the week. The week showed a wide trading range with high volatility, up days slightly outnumbered down days, and falling volume with mixed volume. Overall, this amounted to a 17.61% gain over the week.","The stock rose 17.61% for the week, moving from about 141.09 to 165.94 and closing near its recent high around 166.02 with little late-week pullback. Trading stayed volatile with a wide range, up days slightly exceeded down days, and volume generally declined with mixed day-to-day levels.","The stock fell sharply over the month, moving from about 226.93 to 165.94. It reached a recent high near 226.93 but finished the month meaningfully below that level. The month showed a wide trading range with high volatility, most sessions closed lower than the previous day, and rising volume with mixed volume. Overall, this amounted to a 26.88% decline over the month.","Over the month, the stock dropped 26.88%, falling from about 226.93 to 165.94 after a recent high near 226.93. Trading was volatile with a wide range, most sessions closed lower than the prior day, and volume trended higher but was mixed day to day."
