ticker,entry_date_used,exit_date_used,return_percent,5-day,10-day,1-month,3-month,6-month,YTD
NOC,2026-02-19,2026-03-19,-3.08,+8.55%,+6.83%,+10.49%,+30.42%,+25.70%,+29.23%
RTX,2026-02-19,2026-03-19,-2.28,+4.53%,+4.41%,+1.73%,+18.21%,+33.68%,+12.00%
JNJ,2026-02-19,2026-03-19,-3.77,+2.51%,+5.31%,+12.92%,+21.92%,+38.87%,+19.31%
LMT,2026-02-19,2026-03-19,-4.35,+6.01%,+10.58%,+14.44%,+41.84%,+51.10%,+37.80%
NSRGF,2026-02-19,2026-03-19,-8.67,+4.52%,+5.89%,+12.76%,+7.66%,+17.30%,+5.93%
DUK,2026-02-19,2026-03-19,2.67,+0.93%,+3.40%,+6.00%,+3.39%,+2.09%,+7.82%
CNI,2026-02-19,2026-03-19,-9.44,+2.93%,+10.52%,+9.31%,+16.96%,+15.98%,+10.70%
RIVN,2026-02-19,2026-03-19,3.4,+5.62%,+8.49%,-6.48%,+5.91%,+27.27%,-20.90%
PLUG,2026-02-19,2026-03-19,25.65,-2.55%,-6.83%,-19.07%,+0.53%,+20.89%,-3.05%
COIN,2026-02-19,2026-03-19,22.28,+8.32%,-1.59%,-31.19%,-35.50%,-45.07%,-26.62%
U,2026-02-19,2026-03-19,3.57,-13.64%,-25.86%,-54.85%,-52.86%,-50.34%,-58.14%
PM,2026-02-19,2026-03-19,-10.97,-1.49%,+1.72%,+5.69%,+17.92%,+8.73%,+14.40%
XOM,2026-02-19,2026-03-19,4.76,-2.95%,+2.29%,+16.23%,+28.65%,+40.54%,+25.45%
PLTR,2026-02-19,2026-03-19,15.41,-0.58%,-3.33%,-21.10%,-18.46%,-14.49%,-24.11%
META,2026-02-19,2026-03-19,-5.91,-3.58%,-3.62%,+3.95%,+9.23%,-14.20%,-2.32%
GLNCY,2026-02-19,2026-03-19,1.65,-0.29%,+1.11%,+6.31%,+48.53%,+75.22%,+24.89%
